codice_univoco,data_ora_inizio_proiezione,data_ora_fine_proiezione,titolo_film,genere,regista,anno,durata_minuti,eta_minima,prezzo_biglietto,posti_prenotati
e854cfd5-fd4d-409d-be19-52a5f0f95365,2027-12-30 10:30:00,2027-12-30 12:45:00,A Beautiful Mind,BIOGRAFICO,Ron Howard,2001,135,12,8.5,0
e8fe7263-4ae1-4505-90ad-17d8f452b715,2027-12-29 16:00:00,2027-12-29 18:06:00,Good Will Hunting,DRAMMATICO,Gus Van Sant,1997,126,0,8.5,0
e720db9f-b3ed-4a31-bed3-a7a605b94929,2027-12-29 12:30:00,2027-12-29 15:20:00,The Best Years of Our Lives,DRAMMATICO,William Wyler,1946,170,12,8.5,0
bc6d3d8e-e41c-4988-88f7-b726cbbecffa,2027-12-29 10:00:00,2027-12-29 11:40:00,To Have and Have Not,AVVENTURA,Howard Hawks,1944,100,6,8.0,0
a14335ed-e7a2-465e-a001-132a09b85e3f,2027-12-28 15:30:00,2027-12-28 17:30:00,Blue Velvet,DRAMMATICO,David Lynch,1986,120,12,7.5,0
3d8efff0-3d7b-42a6-8cd4-79e3dc9a0d75,2027-12-28 13:00:00,2027-12-28 14:52:00,The Philadelphia Story,COMMEDIA,George Cukor,1940,112,12,8.5,0
56b1d062-1a01-4625-a190-4641738cf7c6,2027-12-28 10:00:00,2027-12-28 12:06:00,Good Will Hunting,DRAMMATICO,Gus Van Sant,1997,126,0,6.5,0
9a5e200e-19b4-40e4-8095-c4c990cee300,2027-12-27 14:00:00,2027-12-27 16:13:00,The Blues Brothers,AZIONE,John Landis,1980,133,0,8.5,0
f8fbb7d4-58b6-44aa-964a-651b02d57a44,2027-12-27 10:30:00,2027-12-27 13:11:00,The Bridge on the River Kwai,AVVENTURA,David Lean,1957,161,6,7.5,0
72e3e526-5786-4fe9-8236-f6afbb798ba3,2027-12-26 19:30:00,2027-12-26 21:36:00,Good Will Hunting,DRAMMATICO,Gus Van Sant,1997,126,0,10.0,0
d9a64b90-b9c4-4e41-acb2-7f4b579b0094,2027-12-26 16:00:00,2027-12-26 18:41:00,The Bridge on the River Kwai,AVVENTURA,David Lean,1957,161,6,8.5,0
5461c9bb-61df-4dae-8a8e-cd3f7dca0e43,2027-12-26 13:00:00,2027-12-26 15:06:00,Good Will Hunting,DRAMMATICO,Gus Van Sant,1997,126,0,8.5,0
b3eadc72-7225-42fd-ab74-f498909ef28a,2027-12-26 10:00:00,2027-12-26 12:00:00,Blue Velvet,DRAMMATICO,David Lynch,1986,120,12,7.5,0
19e255d9-3094-4e76-9730-e2636607993d,2027-12-25 22:00:00,2027-12-26 00:50:00,The Best Years of Our Lives,DRAMMATICO,William Wyler,1946,170,12,10.0,0
9c933604-1516-49d6-b809-b0281be3b576,2027-12-25 18:00:00,2027-12-25 21:11:00,Gandhi,BIOGRAFICO,Richard Attenborough,1982,191,0,9.0,0
2ef301e0-123e-423d-83dc-339376690b3b,2027-12-25 14:30:00,2027-12-25 17:28:00,The Lord of the Rings: The Fellowship of the Ring,AZIONE,Peter Jackson,2001,178,0,7.0,0
9bb2c050-fe24-4932-9888-262daf8a59c0,2027-12-25 10:30:00,2027-12-25 13:28:00,The Lord of the Rings: The Fellowship of the Ring,AZIONE,Peter Jackson,2001,178,0,8.0,0
4fa3460e-1a6f-4218-a01e-a07d5ccf534e,2027-12-24 13:30:00,2027-12-24 15:17:00,Misery,DRAMMATICO,Rob Reiner,1990,107,16,8.0,0
d70510c6-6fed-455c-b7b6-77e29057ba6c,2027-12-24 10:30:00,2027-12-24 12:36:00,The Treasure of the Sierra Madre,AVVENTURA,John Huston,1948,126,12,8.5,0
2ee22983-5cb6-41e7-a228-b30c4cfb8808,2027-12-23 10:00:00,2027-12-23 12:26:00,The Hurricane,BIOGRAFICO,Norman Jewison,1999,146,16,8.5,0
c7026fc4-83a6-401e-b080-2f6f998fcda2,2027-12-22 17:00:00,2027-12-22 19:09:00,C.R.A.Z.Y.,COMMEDIA,Jean-Marc Vallée,2005,129,12,8.0,0
08328e42-126f-4bab-87a4-ade125910a9e,2027-12-22 14:30:00,2027-12-22 16:17:00,Misery,DRAMMATICO,Rob Reiner,1990,107,16,7.5,0
891b9595-d4e9-40fa-a95a-cb7acdbb5075,2027-12-22 10:30:00,2027-12-22 13:42:00,Veer-Zaara,DRAMMATICO,Yash Chopra,2004,192,0,7.5,0
9d525766-b7d2-42f8-86fa-75cc7fd83263,2027-12-21 16:00:00,2027-12-21 18:09:00,Primal Fear,CRIMINE,Gregory Hoblit,1996,129,12,7.0,0
f43d136e-cae8-4c54-b1da-e30841720739,2027-12-21 13:00:00,2027-12-21 15:13:00,The Blues Brothers,AZIONE,John Landis,1980,133,0,8.0,0
89dbb496-753e-4909-aac2-7dbb6f35c620,2027-12-21 10:00:00,2027-12-21 12:00:00,Blue Velvet,DRAMMATICO,David Lynch,1986,120,12,7.5,0
d17f852e-d233-4a46-9308-9ee4b3bb4738,2027-12-20 13:30:00,2027-12-20 15:23:00,Donnie Darko,DRAMMATICO,Richard Kelly,2001,113,16,7.0,0
56be9436-ff59-4c1a-bba8-081cc3b3a15f,2027-12-20 10:30:00,2027-12-20 12:23:00,Star Trek II: The Wrath of Khan,AZIONE,Nicholas Meyer,1982,113,0,8.0,0
f5f4915d-18c0-4000-a30b-532cc1eb2f32,2027-12-19 16:00:00,2027-12-19 17:58:00,The Silence of the Lambs,CRIMINE,Jonathan Demme,1991,118,12,7.5,0
fa68d29b-8381-4aae-8fcc-8c01a4f0e844,2027-12-19 13:00:00,2027-12-19 15:05:00,Philadelphia,DRAMMATICO,Jonathan Demme,1993,125,12,8.5,0
4356d6bd-250c-4a72-8d12-35628800db8e,2027-12-19 10:00:00,2027-12-19 12:09:00,Primal Fear,CRIMINE,Gregory Hoblit,1996,129,12,8.0,0
be285397-66e5-4ee6-adcb-9f680ea5885e,2027-12-18 16:30:00,2027-12-18 18:10:00,The Maltese Falcon,NOIR,John Huston,1941,100,12,8.0,0
1d0b8988-8759-4574-9d42-e97a033f53f4,2027-12-18 13:30:00,2027-12-18 15:43:00,The Blues Brothers,AZIONE,John Landis,1980,133,0,8.0,0
e9e65247-36c8-4f8b-a50e-a94f0c34c3f2,2027-12-18 10:30:00,2027-12-18 12:39:00,C.R.A.Z.Y.,COMMEDIA,Jean-Marc Vallée,2005,129,12,6.5,0
4a6c6e2b-feb0-4f9d-8cd2-962086b0e569,2027-12-17 10:00:00,2027-12-17 12:09:00,Primal Fear,CRIMINE,Gregory Hoblit,1996,129,12,7.5,0
